game,element,hierarchy_path,report_writer_prediction,report_writer_ratio,ground_truth_label,ground_truth_ratio,verification_method,selection_method,notes
RedRunner,High Score Text,Canvas/In-Game Screen/High Score Text,FAIL,1.0,FAIL,1.26,"ContrastMeter (Play Mode; live click)",deliberate,"Edit Mode white-fallback artifact; live camera background is cyan sky"
RedRunner,Score Text,Canvas/In-Game Screen/Score Text,FAIL,1.0,FAIL,1.26,"ContrastMeter (Play Mode; live click)",deliberate,"Edit Mode white-fallback artifact; live camera background is cyan sky"
RedRunner,Help Window 'Run' text,"Canvas/Windows/Help Window/.../Text",PASS,9.18,PASS,9.18,"ContrastMeter (Play Mode; live click; settled state)",deliberate,"First click hit a transient mid-animation FAIL (1.00) during CanvasGroup open transition; settled re-click matched Report Writer"
RedRunner,Help Window 'Jump' text,"Canvas/Windows/Help Window/.../Text",PASS,9.18,PASS,9.18,"ContrastMeter (Play Mode; live click)",deliberate,"Same styling/prefab as Run text; independent confirmation"
ChopChop,CONTINUE,"Canvas-MainMenu/.../Text (TMP)",FAIL,1.0,FAIL,1.69,"ContrastMeter (Play Mode; live click)",deliberate,"White-tinted-sprite artifact; live composited background differs from Edit Mode assumption"
ChopChop,EXIT,"Canvas-MainMenu/.../Text (TMP)",FAIL,1.0,FAIL,1.32,"ContrastMeter (Play Mode; live click)",deliberate,"White-tinted-sprite artifact"
ChopChop,NEW GAME,"Canvas-MainMenu/.../Text (TMP)",FAIL,1.0,FAIL,1.69,"ContrastMeter (Play Mode; live click)",deliberate,"White-tinted-sprite artifact"
ChopChop,SETTINGS,"Canvas-MainMenu/.../Text (TMP)",FAIL,1.0,FAIL,1.69,"ContrastMeter (Play Mode; live click)",deliberate,"White-tinted-sprite artifact"
ChopChop,CREDITS,"Canvas-MainMenu/.../Text (TMP)",FAIL,1.0,FAIL,1.69,"ContrastMeter (Play Mode; live click)",deliberate,"White-tinted-sprite artifact"
ChopChop,PopupDescription,"Canvas-MainMenu/.../Confirmation_Popup/PopupDescription",FAIL,2.91,FAIL,3.42,"ContrastMeter (Play Mode; live click)",deliberate,"Real distinct colours read; live/static values close but not identical"
ChopChop,Confirmation popup (Quit dialog),"Canvas-MainMenu/.../Confirmation_Popup",PASS,7.68,PASS,7.68,"ContrastMeter (Play Mode; live click)",deliberate,"Real distinct colours"
ChopChop,Master Volume / Setting_Title (Audio),"Canvas-MainMenu/Settings_Panel_PR/Audio_Panel/.../Setting_Title",PASS,7.224,PASS,7.22,"ContrastMeter (Play Mode; live click)",deliberate,"Real distinct colours"
ChopChop,Audio tab label (unselected),"Canvas-MainMenu/Settings_Panel_PR/.../Audio_Tab",FAIL,1.279,FAIL,1.28,"ContrastMeter (Play Mode; live click)",deliberate,"Genuine design issue - unselected tab has real low contrast, not a tool artifact"
ChopChop,VersionNo,"Canvas-MainMenu/VersionNo",FAIL,1.279,PASS,16.42,"ContrastMeter (Play Mode; live click)",random_seed42,"Sole mismatch (false positive). Ground truth itself flagged Unknown/no-Main-Camera by ContrastMeter - low confidence on both sides"
ChopChop,Language tab (selected),"Canvas-MainMenu/Settings_Panel_PR/.../Language_Tab",PASS,7.224,PASS,7.22,"ContrastMeter (Play Mode; live click)",random_adjacent,""
ChopChop,Setting_Title Music row,"Canvas-MainMenu/Settings_Panel_PR/Audio_Panel/.../Setting_Title",PASS,7.224,PASS,7.22,"ContrastMeter (Play Mode; live click)",random_adjacent,""
ChopChop,CurrentOption Resolution,"Canvas-MainMenu/Settings_Panel_PR/Graphic_Panel/.../CurrentOption",PASS,7.224,PASS,7.22,"ContrastMeter (Play Mode; live click)",random_seed43,""
ChopChop,Setting_Title AntiAliasing,"Canvas-MainMenu/Settings_Panel_PR/Graphic_Panel/.../Setting_Title",PASS,7.224,PASS,7.22,"ContrastMeter (Play Mode; live click)",random_seed43,""
ChopChop,CurrentOption ShadowDistance,"Canvas-MainMenu/Settings_Panel_PR/Graphic_Panel/.../CurrentOption",PASS,7.224,PASS,7.22,"ContrastMeter (Play Mode; live click)",random_seed43,""
ChopChop,ButtonText Reset (Graphics),"Canvas-MainMenu/Settings_Panel_PR/Graphic_Panel/.../ResetButton/ButtonText",FAIL,1.0,FAIL,1.0,"ContrastMeter (Play Mode; live click)",random_seed43,"White-tinted-sprite artifact"
ChopChop,ButtonText Save (Language),"Canvas-MainMenu/Settings_Panel_PR/Language_Panel/.../SaveButton/ButtonText",FAIL,1.0,FAIL,1.0,"ContrastMeter (Play Mode; live click)",random_seed43,"White-tinted-sprite artifact"
